TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke.width	stroke.dasharray
ST18	ACSS3	-0.50636	42.2	-0.2	rgb(174,191,225)	1.8242	None
ST18	ADAMTS2	-0.60615	45.5	-0.5	rgb(109,152,236)	1.8902	2,2
ST18	AK096718	-0.47538	40.77	-0.77	rgb( 49,115,246)	1.7956	2,2
ST18	ARHGAP33	0.31941	33	0	rgb(217,217,217)	1.6401	None
ST18	BAI1	0.45762	41.23	0.23	rgb(220,173,174)	1.8048	2,2
ST18	BHMT	0.71074	48.64	0.636	rgb(224, 96, 97)	1.953	2,2
ST18	C1orf173	0.76712	49.62	0.621	rgb(224, 98,100)	1.9726	2,2
ST18	C7orf41	0.0067328	14	0	rgb(217,217,217)	1.2601	2,2
ST18	CA8	0.13825	22	0	rgb(217,217,217)	1.4201	2,2
ST18	CARTPT	0.092482	18	0	rgb(217,217,217)	1.3401	2,2
ST18	CES1	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
ST18	CHST9	-0.43643	39.27	-0.27	rgb(159,181,227)	1.7656	2,2
ST18	CLEC4G	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ST18	COL22A1	-0.41966	38.35	-0.35	rgb(141,171,230)	1.7471	None
ST18	DACT1	-0.87922	50.6	-0.6	rgb( 87,138,240)	1.9922	2,2
ST18	FAM105A	0.12321	21	0	rgb(217,217,217)	1.4001	2,2
ST18	FFAR3	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ST18	GABRA1	-0.34263	34.33	-0.33	rgb(144,173,230)	1.6667	2,2
ST18	GAST	0.016605	14	0	rgb(217,217,217)	1.2601	2,2
ST18	GPC5-AS1	0.15118	22	0	rgb(217,217,217)	1.4201	2,2
ST18	GRIK3	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ST18	HLA-DQA2	0.19533	25	0	rgb(217,217,217)	1.4801	2,2
ST18	ISL1	-0.63693	46.48	-0.48	rgb(112,153,235)	1.9098	None
ST18	KCNMB2-IT1	-0.35708	35.29	-0.29	rgb(155,179,228)	1.6859	2,2
ST18	KIT	0.76712	49.62	0.615	rgb(224, 99,101)	1.9726	2,2
ST18	LEFTY1	-0.34221	34.31	-0.31	rgb(151,177,229)	1.6663	None
ST18	LGR6	0.28724	31	0	rgb(217,217,217)	1.6001	None
ST18	LIN7A	0.13057	21	0	rgb(217,217,217)	1.4001	None
ST18	LINC00907	0.060595	16	0	rgb(217,217,217)	1.3001	2,2
ST18	LOC100216479	0.31941	33	0	rgb(217,217,217)	1.6401	2,2
ST18	LOC202181	0.068278	17	0	rgb(217,217,217)	1.3201	2,2
ST18	LOC283731	0.13057	21	0	rgb(217,217,217)	1.4001	2,2
ST18	MAP2	0.85308	50.51	0.51	rgb(223,120,121)	1.9904	None
ST18	MEP1B	-0.4038	37.51	-0.51	rgb(107,150,236)	1.7303	None
ST18	NPSR1-AS1	0.27869	32	0	rgb(217,217,217)	1.6201	None
ST18	RGAG4	0.73812	49.4	0.398	rgb(221,141,142)	1.9682	2,2
ST18	SCN3A	0.67071	47.84	0.841	rgb(226, 56, 58)	1.937	2,2
ST18	SH3RF3	0.53548	44.24	0.264	rgb(220,167,167)	1.865	None
ST18	STXBP5L	-0.60814	45.54	-0.54	rgb(100,146,238)	1.891	None
ST18	SYP	-0.96501	50.81	-0.81	rgb( 41,110,248)	1.9964	None
ST18	SYT5	-0.36113	35.4	-0.4	rgb(131,165,232)	1.6881	None
ST18	TAC1	-0.57431	44.43	-0.43	rgb(124,161,233)	1.8688	2,2
